31	31	739	2	674	46	14.65	5.47	16.07	3	1	1.48
19	19	439	3	508	32	15.88	6.94	13.72	0	2	1.68
73	73	1694	5	1849	103	17.95	6.55	16.45	2	1	1.41
27	27	576	3	693	37	18.73	7.22	15.57	1	0	1.37
76	76	1664	4	1924	95	20.25	6.94	17.52	2	1	1.25
69	69	1596	7	1688	78	21.64	6.35	20.46	0	0	1.13
20	20	468	1	623	29	21.48	7.99	16.14	1	0	1.45
42	42	965	1	1058	45	23.51	6.58	21.44	2	1	1.07
67	65	1433	3	1515	64	23.67	6.34	22.39	0	0	0.98
22	22	519	0	659	29	22.72	7.62	17.90	0	0	1.32
61	61	1313	5	1641	73	22.48	7.50	17.99	2	1	1.20
79	77	1611	0	1929	85	22.69	7.18	18.95	0	0	1.10
37	37	832	3	1047	45	23.27	7.55	18.49	1	0	1.22
82	80	1707	3	1925	78	24.68	6.77	21.88	1	1	0.98
26	26	606	1	784	32	24.50	7.76	18.94	1	0	1.23
61	61	1428	1	1572	60	26.20	6.61	23.80	0	0	0.98
55	54	1194	1	1447	57	25.39	7.27	20.95	1	0	1.06
73	72	1367	1	1835	79	23.23	8.05	17.30	1	0	1.10
33	33	637	1	846	36	23.50	7.97	17.69	0	0	1.09
42	42	892	1	1021	39	26.18	6.87	22.87	0	0	0.93
78	78	1703	2	2227	87	25.60	7.85	19.57	2	0	1.12
54	54	1163	1	1508	59	25.56	7.78	19.71	0	0	1.09
64	63	1418	3	1830	70	26.14	7.74	20.26	1	0	1.11
55	51	1061	1	1267	48	26.40	7.16	22.10	0	0	0.94
41	41	960	1	1219	45	27.09	7.62	21.33	1	0	1.10
