59	58	10	2512	175	52.33	1568	160.20	4	16	3	204	180	43.31
50	49	6	1903	115	44.26	1428	133.26	1	16	1	203	63	38.84
55	54	9	1785	101	39.67	1226	145.60	1	11	1	180	81	33.06
46	45	7	1691	116	44.50	1360	124.34	1	12	1	176	42	37.58
32	32	2	1107	93	36.90	805	137.52	0	8	1	121	44	34.59
96	84	25	2243	70	38.02	1589	141.16	0	13	2	169	89	26.70
99	95	15	2802	100	35.03	1982	141.37	1	18	6	239	115	29.49
79	79	5	2174	119	29.38	1356	160.32	1	15	6	266	85	27.52
39	36	9	974	117	36.07	750	129.87	1	5	0	74	41	27.06
74	66	18	1662	105	34.63	1232	134.90	1	10	5	132	57	25.18
78	78	11	2334	100	34.84	1948	119.82	1	13	4	295	29	29.92
97	93	16	2513	109	32.64	1938	129.67	1	18	5	202	110	27.02
88	87	9	2471	93	31.68	1945	127.04	0	20	7	291	37	28.40
39	38	11	978	74	36.22	820	119.27	0	8	1	61	35	25.74
68	67	10	1851	95	32.47	1512	122.42	0	16	3	203	41	27.63
35	33	3	857	87	28.57	636	134.75	0	5	2	76	43	25.97
80	80	4	2069	109	27.22	1495	138.39	2	11	7	239	92	25.86
55	55	5	1435	109	28.70	1078	133.12	2	10	5	146	58	26.09
93	85	13	2273	99	31.57	1831	124.14	0	14	1	218	71	26.74
91	85	16	1820	100	26.38	1237	147.13	1	7	5	153	95	21.41
62	59	20	1299	73	33.31	1046	124.19	0	6	3	118	37	22.02
54	50	8	1316	103	31.33	1129	116.56	1	10	4	140	26	26.32
62	56	15	1059	66	25.83	720	147.08	0	5	1	77	66	18.91
64	64	4	1600	127	26.67	1251	127.90	2	7	3	140	66	25.00
48	48	3	1239	158	27.53	1006	123.16	1	5	4	127	48	25.81
